Actual,Predicted,Model,ModelFull,Residuals
6.721246399047171,6.309989231291151,RF,Random Forest,0.4112571677560197
6.443697499232712,7.410706906571223,RF,Random Forest,-0.9670094073385105
6.708684280255182,5.630335470098503,RF,Random Forest,1.0783488101566787
6.406713932979542,6.577236143873489,RF,Random Forest,-0.1705222108939468
6.017728766960431,5.345642215013634,RF,Random Forest,0.6720865519467969
6.29929628285498,6.302994466598038,RF,Random Forest,-0.003698183743058081
6.00436480540245,5.7181652954843925,RF,Random Forest,0.28619950991805787
6.823908740944319,6.76023106266339,RF,Random Forest,0.06367767828092852
6.531652669587842,6.819816027619345,RF,Random Forest,-0.28816335803150306
6.700331433503756,6.800288100253538,RF,Random Forest,-0.09995666674978221
6.173925197299173,5.824328350505781,RF,Random Forest,0.34959684679339187
6.552841968657781,7.3264759127715084,RF,Random Forest,-0.7736339441137279
6.017728766960431,6.2121644996964225,RF,Random Forest,-0.19443573273599135
6.494850021680094,6.650858964286161,RF,Random Forest,-0.1560089426060669
6.413412695328245,6.433668971904212,RF,Random Forest,-0.02025627657596729
6.721246399047171,6.499016091466634,RF,Random Forest,0.22223030758053675
6.54515513999149,6.333204086121044,RF,Random Forest,0.21195105387044588
6.309803919971486,6.550049296952612,RF,Random Forest,-0.24024537698112614
6.259637310505756,6.303155512146814,RF,Random Forest,-0.04351820164105824
6.318758762624412,6.429771612064904,RF,Random Forest,-0.11101284944049183
6.145693958198919,6.706122149842934,RF,Random Forest,-0.56042819164401525
6.512861624522813,6.65433531752354,RF,Random Forest,-0.14147369300072654
6.932557157223619,6.3756579952290355,RF,Random Forest,0.5568991619945836
6.585026652029182,6.03956815465416,RF,Random Forest,0.54545849737502206
6.943095148663527,6.81107544192765,RF,Random Forest,0.13201970673587748
6.5825354517697114,5.511437002808767,RF,Random Forest,1.071098448960944
6.333482019445119,7.824056628217331,RF,Random Forest,-1.4905746087722118
6.259637310505756,6.547784921275749,RF,Random Forest,-0.2881476107699932
6.686132779630847,6.3912435018405755,RF,Random Forest,0.2948892777902712
6.462180904926726,6.267569525484087,RF,Random Forest,0.1946113794426383
6.6020599913279625,7.267988130544983,RF,Random Forest,-0.6659281392170202
6.259637310505756,6.20087831632407,RF,Random Forest,0.05875899418168551
6.259637310505756,6.266064317258336,RF,Random Forest,-0.006427006752580233
6.259637310505756,6.530689945777964,RF,Random Forest,-0.27105263527220824
6.229147988357855,5.690497492685798,RF,Random Forest,0.5386504956720577
6.530177984021837,6.394099755354922,RF,Random Forest,0.13607822866691421
6.437707135543525,5.613621587475343,RF,Random Forest,0.8240855480681821
6.3872161432802645,5.83168728039287,RF,Random Forest,0.5555288628873942
6.214670164989233,5.716730163175084,RF,Random Forest,0.49794000181414866
6.346787486224656,6.323111617537642,RF,Random Forest,0.023675868687013768
6.773234576165021,6.860006101097261,RF,Random Forest,-0.08677152493223961
6.0915149811213505,5.949881300151593,RF,Random Forest,0.1416336809697576
6.629818655252878,6.90034165971426,RF,Random Forest,-0.2705230044613822
6.3872161432802645,6.514580142725424,RF,Random Forest,-0.12736399944515941
6.00436480540245,5.863515685100924,RF,Random Forest,0.1408491203015263
6.31030780460169,6.097830426269152,RF,Random Forest,0.21247737833253844
6.2076083105017466,7.1571415419345294,RF,Random Forest,-0.9495332314327829
6.958607314841775,6.370955425738623,RF,Random Forest,0.5876518891031512
6.7544873321858505,6.657810538910497,RF,Random Forest,0.09667679327535339
6.410832609453952,6.361378073690551,RF,Random Forest,0.04945453576340153
6.301029995663981,6.400950777311288,RF,Random Forest,-0.09992078164730689
6.420107856897075,6.100626230501506,RF,Random Forest,0.3194816263955689
6.42021640338319,6.32567039893919,RF,Random Forest,0.09454600444400008
6.259637310505756,6.35917222810874,RF,Random Forest,-0.09953491760298405
6.72584215073632,6.781761367477708,RF,Random Forest,-0.05591921674138778
6.075720713938118,6.146909741545436,RF,Random Forest,-0.07118902760731771
6.221848749616356,5.409110851941583,RF,Random Forest,0.812737897674773
6.221848749616356,5.824986359172527,RF,Random Forest,0.39686239044382887
6.7447274948966935,6.349054698969179,RF,Random Forest,0.39567279592751436
6.568636235841013,7.198639810693255,RF,Random Forest,-0.6300035748522417
6.013228265733755,5.732223139680664,RF,Random Forest,0.281005126053091
6.381416708657263,6.628513977915841,RF,Random Forest,-0.24709726925857733
6.346787486224656,7.04995135897737,RF,Random Forest,-0.7031638727527136
6.31695296176115,5.9720073462887155,RF,Random Forest,0.34494561547243485
6.102372908709558,6.271665907480109,RF,Random Forest,-0.16929299877055115
6.823908740944319,6.494486190286661,RF,Random Forest,0.32942255065765735
6.318758762624412,6.217786760853267,RF,Random Forest,0.10097200177114551
6.199998172182031,7.091592752374631,RF,Random Forest,-0.8915945801926002
6.7447274948966935,7.429370034595079,RF,Random Forest,-0.6846425396983857
6.144012072824122,5.563261880853371,RF,Random Forest,0.5807501919707505
6.142667503568732,7.99664110790393,RF,Random Forest,-1.8539736043351978
6.0999990348465305,7.0029284935161495,RF,Random Forest,-0.902929458669619
6.508638306165727,6.350164569729035,RF,Random Forest,0.15847373643669194
6.236572006437063,6.244615091817659,RF,Random Forest,-0.008043085380595727
6.33161408331,6.282913033139155,RF,Random Forest,0.048701050170844695
